date,total,total_male,total_female
1989-09-01,1118,1058,60
1989-10-01,1115,1055,60
1989-11-01,1117,1057,60
1989-12-01,1120,1060,60
1990-01-01,1116,1056,60
1990-02-01,1111,1051,60
1990-03-01,1114,1054,60
1990-04-01,1114,1053,61
1990-05-01,1116,1055,61
1990-06-01,1129,1064,65
1990-07-01,1129,1062,67
1990-08-01,1133,1065,68
1990-09-01,1132,1064,68
1990-10-01,1128,1061,67
1990-11-01,1129,1061,68
1990-12-01,1131,1063,68
1991-01-01,1131,1063,68
1991-02-01,1133,1065,68
1991-03-01,1137,1067,70
1991-04-01,1134,1064,70
1991-05-01,1134,1064,70
1991-06-01,1134,1064,70
1991-07-01,1141,1066,75
1991-08-01,1147,1071,76
1991-09-01,1147,1071,76
1991-10-01,1148,1072,76
1991-11-01,1145,1070,75
1991-12-01,1144,1069,75
1992-01-01,1144,1070,74
1992-02-01,1147,1073,74
1992-03-01,1147,1073,74
1992-04-01,1146,1072,74
1992-05-01,1153,1078,75
1992-06-01,1153,1078,75
1992-07-01,1153,1077,76
1992-08-01,1165,1088,77
1992-09-01,1167,1091,76
1992-10-01,1168,1092,76
1992-11-01,1167,1092,75
1992-12-01,1171,1097,74
1993-01-01,1166,1092,74
1993-02-01,1166,1091,75
1993-03-01,1166,1091,75
1993-04-01,1158,1084,74
1993-05-01,1164,1090,74
1993-06-01,1163,1089,74
1993-07-01,1159,1085,74
1993-08-01,1162,1088,74
1993-09-01,1160,1086,74
1993-10-01,1157,1083,74
1993-11-01,1165,1088,77
1993-12-01,1161,1084,77
1994-01-01,1154,1077,77
1994-02-01,1152,1075,77
1994-03-01,1152,1075,77
1994-04-01,1153,1076,77
1994-05-01,1149,1072,77
1994-06-01,1148,1072,76
1994-07-01,1147,1071,76
1994-08-01,1148,1072,76
1994-09-01,1146,1070,76
1994-10-01,1147,1070,77
1994-11-01,1156,1077,79
1994-12-01,1156,1077,79
1995-01-01,1154,1075,79
1995-02-01,1152,1073,79
1995-03-01,1155,1074,81
1995-04-01,1156,1075,81
1995-05-01,1154,1073,81
1995-06-01,1153,1072,81
1995-07-01,1151,1070,81
1995-08-01,1153,1073,80
1995-09-01,1149,1069,80
1995-10-01,1146,1067,79
1995-11-01,1147,1067,80
1995-12-01,1148,1068,80
1996-01-01,1152,1072,80
1996-02-01,1157,1075,82
1996-03-01,1160,1078,82
1996-04-01,1162,1081,81
1996-05-01,1163,1082,81
1996-06-01,1162,1081,81
1996-07-01,1160,1080,80
1996-08-01,1163,1083,80
1996-09-01,1161,1081,80
1996-10-01,1162,1082,80
1996-11-01,1171,1087,84
1996-12-01,1174,1090,84
1997-01-01,1175,1092,83
1997-02-01,1175,1092,83
1997-03-01,1178,1094,84
1997-04-01,1178,1094,84
1997-05-01,1177,1094,83
1997-06-01,1186,1103,83
1997-07-01,1200,1115,85
1997-08-01,1203,1118,85
1997-09-01,1202,1117,85
1997-10-01,1213,1124,89
1997-11-01,1243,1148,95
1997-12-01,1257,1161,96
1998-01-01,1253,1157,96
1998-02-01,1256,1160,96
1998-03-01,1256,1160,96
1998-04-01,1259,1164,95
1998-05-01,1260,1165,95
1998-06-01,1259,1164,95
1998-07-01,1257,1162,95
1998-08-01,1284,1182,102
1998-09-01,1287,1185,102
1998-10-01,1288,1186,102
1998-11-01,1289,1187,102
1998-12-01,1288,1186,102
1999-01-01,1286,1185,101
1999-02-01,1287,1185,102
1999-03-01,1287,1185,102
1999-04-01,1285,1183,102
1999-05-01,1283,1180,103
1999-06-01,1283,1180,103
1999-07-01,1281,1178,103
1999-08-01,1313,1201,112
1999-09-01,1322,1205,117
1999-10-01,1322,1205,117
1999-11-01,1320,1203,117
1999-12-01,670,565,105
2000-01-01,667,563,104
2000-02-01,665,561,104
2000-03-01,669,564,105
2000-04-01,669,564,105
2000-05-01,678,572,106
2000-06-01,692,581,111
2000-07-01,699,587,112
2000-08-01,698,586,112
2000-09-01,697,586,111
2000-10-01,695,584,111
2000-11-01,696,585,111
2000-12-01,694,584,110
2001-01-01,692,582,110
2001-02-01,690,579,111
2001-03-01,685,575,110
2001-04-01,683,573,110
2001-05-01,679,569,110
2001-06-01,678,568,110
2001-07-01,693,578,115
2001-08-01,710,593,117
2001-09-01,709,592,117
2001-10-01,707,590,117
2001-11-01,704,587,117
2001-12-01,705,588,117
2002-01-01,702,585,117
2002-02-01,701,584,117
2002-03-01,700,583,117
2002-04-01,697,580,117
2002-05-01,694,578,116
2002-06-01,692,577,115
2002-07-01,691,576,115
2002-08-01,687,572,115
2002-09-01,685,570,115
2002-10-01,685,571,114
2002-11-01,685,573,112
2002-12-01,681,570,111
2003-01-01,682,571,111
2003-02-01,677,567,110
2003-03-01,678,568,110
2003-04-01,677,567,110
2003-05-01,675,565,110
2003-06-01,673,563,110
2003-07-01,674,564,110
2003-08-01,673,563,110
